قبل از تغییر دادن شیت کامنت این خونه رو بخونید.,,,رشته و مقطع,,,,,,نمرات,,,,,,,,,,,,,,ریکام,,,,دستیار آموزشی,اینترن‌شیپ (زمینه / دانشگاه - موسسه / و ترجیحا استاد),ریسرچ,,سایر موارد رزومه,تجربیات شخصی (خیلی خوبه اگر در این قسمت لینک بلاگ یا گوگل داک از تجربیاتتون بذارید.),ســـــــــــــــــــــــــفـــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــارت (این بخش در اصل برای آمریکاست ولی برای کشورهای دیگه هم با ذکر کشور پر کنید خوبه.),,,,,,,,,,,,,
,,,مقطع و سال ورود,رشته,رشته‌ی دوم,ماینور,گرایش (فقط ارشدها),فیلد اپلای,معدل,GRE,,,TOEFL,,,,,IELTS,,,,,۱,۲,۳,بیشتر!,,,استاد(ها) و زمینه(ها)‌ی ریسرچ,مقاله با ذکر زمینه و ترجیحا ژورنال (کنفرانس!),,,محل,تاریخ گرفتن وقت (پرداخت mrv fee),وقت اولیه,وقت بعد از Reschedule,خدمات شریف ویزا و امثالهم / هزینه,تاریخ اکسپت کردن آفر,تاریخ صدور I20,تاریخ درخواستی برای اکسپدایت,نتیجه اکسپدایت,هزینه سفر به سفارت,وضعیت ویزا,شرایط ویزا (سینگل / مولتی / ...),تاریخ صدور ویزا,سایر تجربیات مربوط به سفارت
۵۱,کلیت رزومه,,کارشناسی ۹۷,علوم کامپیوتر,ریاضی کاربردی,,,AI-ML-Vision,19.15,,,,22,24,29,30,105,,,,,,دکتر تفاق,یه استاد از آمریکا,یه استاد دیگه از آمریکا,,"DA, ImageProcessing",-,دکتر تفاق (SysBio),,,"اگه مطمئن باشید کجا میرید، زودتر میتونید برنامه ریزی کنید و وقت سفارت بگیرید و غیره. گاهی شاید استادایی پیدا بشن که ضمانت بتونن بدن قبولتون می کنن. اینکه استاد چقدر بتونه کارهارو جلو بندازه بستگی به سیستم دانشگاه هم داره.

اگر مثلا میدونید آمریکا می خواید برید، وقت سفارت بگیرید از قبل تر.",ایروان,2021/12/7,11 March,-,شریف ویزا (درخواست تضمینی-4 روز طول کشید تا وقت رو گرفتند),2021/12/12,2022/25/2,-,-,,Clearance,,,
,دانشگاه,,Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department,,ECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,قبل از سابمیشن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,Final Decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,9 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۵۲,کلیت رزومه,,کارشناسی ۹۷,مهندسی کامپیوتر,,,,ML,19.92,,,,24,28,30,30,112,,,,,,Flammarion,آبام,ضرابی,سلیمانی، صفرنژاد,"DA, DS, Compiler","EPFL - Theory of ML, MPI - Optimization",سلیمانی و اینترنشیپ‌ها,,مدال نقره المپیاد جهانی کامپیوتر IOI 2018 ICPC World Finalist 2020,,,,,,,,,,,,,,,
,دانشگاه,,U of T,UBC,MIT,EPFL,CMU,Stanford,UCLA,Maryland,,,IST (Austria),,,,,Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,M.Sc.,Ph.D.,Ph.D.,M.Sc. + Ph.D.,Ph.D.,Ph.D.,Ph.D.,,,Ph.D.,,,,,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department,,CS,CS,EECS,EDIC,ML,CS,CS,CS,,,,,,,,ECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,ML,ML,ML,ML,,,ML,ML,,,,,,,,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بعد از سابمیشن,بعد از سابمیشن,,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,بعد از سابمیشن,,,بدون مصاحبه,,,,,بعد از سابمیشن,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,ACC,ACC,REJ,ACC,REJ,REJ,REJ,Final Decision,,,ACC,,,,,ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,April 2,Feb 23,,Jan 24,,Feb 8,,Feb 6,,,Feb 8,,,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,40K-8K+4K,25K + 3.2K - 9K,,52.7K,,,,25K + 2.5K + (5-11)K for summer,,,,,,,,"$36,720/year + Tuition Waiver + Student Insurance Plan",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,Fellowship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۵۳,کلیت رزومه,,کارشناسی ۹۷,علوم کامپیوتر,,,,Complex Systems,17.7,-,-,-,24,25,30,29,108,,,,,,David Banks (Duke),Eckehard Olbrich (MPI MIS),Saman Moghimi (physics),فاخته قنبرنژاد، فرنوش فرهپور(ِDuisburg essen)، مهدوی امیری، ابراهیمی، ارشدی,2*اصول سیستم، آمار،گسسته،پدیده های آماری،شبکه، AP,Duke/ MPI MIS/ Duisburg essen,"Agent based modeling, computational social science, social immunity, statistics, computational epidemiology",,feel free to reach me out by @YasamanAsgari,UCI has a great program for who love HCI please look at this if you want this field. Fee can not be waived. Don't waste your time.,,,,,,,,,,,,,,
,دانشگاه,,Columbia,Cornell,UC Berkeley,CMU,Indiana-Bloomington,UMich,Yale,UPenn,,,Colorado Boulder,,,,,MIT,,,,,UCI,Northeastern,Northeastern,IST (Austria),ENS Lyon,Imperial College,UCL,,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,,,Ph.D.,,,,,Ph.D.,,,,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,M.Sc.,Ph.D.,Ph.D.,,,,,,,,,,,,,,,,,
,Department,,CS,Informatics,Information Systems,Societal Computing,Informatics,Informatics,CS,CS,,,CS,,,,,IDSS,,,,,Informatics,Network science,ECE,Data science,CS,Math,ML in Health,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,social network,causal inference,social media analysis- gender bias,network science and social media,Complex systems,social media,Scientific computing,computational social science,,,complex systems,,,,,Computational social science,,,,,human computer interaction,Network science,یه چیز قر و قاطی,Data science,Complex systems,,,,,,,,,,,,,,,,,,,
,مصاحبه,,قبل از سابمیشن,بدون مصاحبه,قبل از سابمیشن,قبل از سابمیشن,بعد از سابمیشن,بعد از سابمیشن,بدون مصاحبه,بدون مصاحبه,,,بعد از سابمیشن,,,,,بدون مصاحبه,,,,,,,بعد از سابمیشن,,بعد از سابمیشن,قبل از سابمیشن,بعد از سابمیشن,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,REJ,REJ,REJ,REJ,ACC-Withdraw,REJ,REJ,REJ,,,ACC-Withdraw,,,,,REJ,,,,,REJ,REJ,Withdraw,Withdraw,Final Decision,ACC-Withdraw,ACC-Withdraw,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,11 Feb,11 Feb,1 Feb,18 Feb,10 Feb,4 Feb,1 Mar,19 Mar,,,24 Feb,,,,,4 Mar,,,,,,,,,12 Feb/1 Mar,12 Jan,27 Jan,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,,,,,,,,,,1000 euro/m,0,12k + 5k (Tutition),,,,,,,,,,,,,,,,,
,توضیح بیشتر,,"Fee Waived+
شارلاتان بازی استاد:(",Fee Waived,"Fee Waived!
I had interview with a guy. After the submission she mailed to graduate office and waived the application fee (140 $) with personal email. They only accepted 3 person this year due to funding issues. California residents are in priority.",I interviewed with a guy joining 2022 and he gave some books and papers to read. Then he told to apply for fee waiver. after completing the application I emailed office for fee waiver. Then they accepted after a while. pay attention that the deadline was at noon not at midnight.Fee Waived!,8 بار مصاحبه کردم با استادای مختلفThere are lots of people working in this field. I emailed the most cited one he told to apply and email another guy. I emailed another guy and he told to apply and email another guy. I emailed the third guy and he told to email another guy. It seems they are working close to each other. Interveiwed with the second who is the graduate officer. The fee was not waived. (70$) They asked me to have a Tepaic which is the language test because half of the funding is for TA. a professor from another track contacted me and interveiwed also talked with his students,I emailed a guy and he told to email another guy and I emailed the other guy and he told me to apply for another guy too(They all interviewed). The application process was extremely hard and needed lots of things. Then I requested for a fee waiver and they waived it.Fee Waived! Those guys I emailed just did an interview.,Fee Waived!,I just emailed a guy joining 2022 looking for phd students for 3 times and after the third time he told that I should apply for the program. All of people in this track are really GHOOOOL and it's really by chance to be accepted. That guy told me that answering SOP questions and LORs are really important and decision is made by the faculty not the committe. Fee not waived,,,Fee was not waived! 6 بار مصاحبه کردم با استادای مختلفI emailed 4 guys as they suggested and nobody waived it for me. Do not pay attention to previous years information. I wrote for Complex systems track but another track reached me out. The Open house is pre-admission process.,,,,,"I emailed 5 guys cause It required the IELTS and I have not taken it and they do not accept the Toelf. So after 5 emails. I just mailed to graduate officer and she reviewed my unofficial toelf scores and marked my application as complete with out an IELTS exam. Lots of people apply but they admitt a lot of people too. It is the Heaven for the one who loves this field. Most cited people are working there. I emailed for fee waiver and passed between 3 guys but finally didn't waived the application fee but finally they waved it under certain circumstances that I had the bank statement which I don't have money.... All People I contacted emphesized on the value of LORs and SOP. They suggested to be precise and bring evidence that you already know about the literature. It was a hard decision between MIT SLOAN, MEDIA LAB, IDSS. But finally I chose to apply for this",,,,,,پ,,shortlisted,نکته ی مهم اینه اینا دو تا اسکالرشیپ دارن اولی که ددلاینش زودتره و تعداد زیاد هم اسکالرشیپ‌ میده milyonعه و کلا هم ۱۰ ماه ۱۰۰۰ یورو عه ولی یکی ددلاینش دیر تره ampereو ۱۲ ماهه ولی برای همه رشته هاست و تعدادش کمههه,,15 کا شهریه اینترنشال داره و اگه فاند نگیرم برای اون ویت درا می‌کنم.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۵۴,کلیت رزومه,,کارشناسی ۹۶,مهندسی کامپیوتر,,,,Vision / ML,18.48,,,,23,27,30,30,110,,,,,,رهبان,کسائی,حیدرنوری,,,,,anomaly detection/elsevier neural networks,,,,,,,,,,,,,,,,
,دانشگاه,,UBC,Waterloo,McGill,SFU,UBC,McGill,MILA,ELLIS,,,MPI,,,,,U of T,,,,,Waterloo,York,,,,,,,,,,,,,,,,,,,,,,
,Degree,,M.Sc.,M.Sc.,M.Sc.,M.Sc.,M.Sc.,M.Sc.,M.Sc.,Ph.D.,,,Ph.D.,,,,,M.Sc.,,,,,M.Sc.,M.Sc.,,,,,,,,,,,,,,,,,,,,,,
,Department,,CS,CS,CS,CS,ECE,ECE,CS,CS,,,,,,,,ECE,,,,,SDE,EECS,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,,,,,,,,,,,IMPRS-TRUST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,,,,قبل از سابمیشن,,,,,,,بعد از سابمیشن,,,,,,,,,,بعد از سابمیشن,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,REJ,REJ,REJ,Applied,REJ,ACC,REJ,REJ,,,Final Decision,,,,,Applied,,,,,ACC,Applied,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۵۵,کلیت رزومه,,ارشد ۹۸,مهندسی کامپیوتر,,,الگوریتم و محاسبات,Theoretical CS,18.33,3.5,165,150,27,27,29,27,110,,,,,,قدسی,ضرابی زاده,آبام,صدیقین و استاد کارشناسیم,۳ تا ساختمان داده- طراحی الگوریتم - تقریبی,,"صدیقین - تطابق تصادفی
قدسی - هندسه محاسباتی","هندسه محاسباتی
CCCG2021",فاند برای پروزه ارشد از IPM,,,,,,,,,,,,,,,
,دانشگاه,,U of T,Victoria,McGill,Waterloo,Chalmers,UMich,EPFL,IST (Austria),,,MPI,,,,,Copenhagen,,,,,Lund,Northeastern,,,,,,,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,,,Ph.D.,,,,,Ph.D.,,,,,Ph.D.,Ph.D.,,,,,,,,,,,,,,,,,,,,,,
,Department,,CS,CS,CS,C&O,CS,CSE,,CS,,,CS,,,,,CS,,,,,CS,CS,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,Theory,Theory,Theory,Graph Theory - Algebraic Combinatorics,Complexity,Theory,EDIC,Theory,,,CS@MaxPlank,,,,,Ph.D Call for Theoretical CS,,,,,Ph.D Call for Theoretical CS / Complexity,Theoretical CS,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,REJ,REJ,REJ,REJ,REJ,REJ,REJ,REJ,,,REJ,,,,,REJ,,,,,REJ,REJ,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,,,,,,Jan 24,,,,Feb 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,,"پوزیشن بود برای کارای complexity که توی هوش مصنوعی و کارای اماریش کاربرد داره
بدون فی",,بدون فی,بدون فی,,,بدون فی,,,,,بدون فی,,,,,بدون فی,فی رو ویو کردن,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۵۶,کلیت رزومه,,کارشناسی ۹۶,مهندسی کامپیوتر,,,,Vision,18.62,,,,25,25,28,29,107,,,,,,رهبان,صامتی,آبام,اسدی,AP - Signal*2 - DS - DA - Prob&Stats - Comp. Arch.,,"رهبان: AD, Medical Imaging",1 in progress,,"1- If you don't want to continue the path of Academia, consider applying to Professional programs. They are (mostly) not funded, but if you apply for coop programs you can compensate a handsome amount in the work semesters + you graduate with work experience + there is a high chance the employer you worked for during the coop semester hires you after graduation.

2- For Academic programs, it's best to email a lot to profs beforehand.

3- I suggest Freeing up the whole summer before applying. studying for Toefl, possibly Gre, searching for programs, searching profs, familiarizing yourself with their work, doing the projects they ask for, and ... are time-consuming.",,,,,,,,,,,,,,
,دانشگاه,,EPFL,U of T,Waterloo,Waterloo,IST (Austria),Amsterdam,Aalto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,M.Sc.,M.Sc.,M.Sc.,M.Math.,Ph.D.,M.Sc.,M.Sc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department,,CS,CS,Mathematics,CS,,CS,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,Data Science,MScAc,MDSAI (Co-op),,,AI,ML&DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بدون مصاحبه,بعد از سابمیشن,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,بدون مصاحبه,بدون مصاحبه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,REJ,REJ,Final Decision,REJ,REJ,ACC,ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,100% tuition wave + 5000€ first year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۵۷,کلیت رزومه,,کارشناسی ۹۶,مهندسی کامپیوتر,,,,,18.52,,,,22,27,21,29,99,,,,,,رهبان,صامتی,آبام,,AP - Prob&Stat - Signal*2 - DA,,رهبان: Vision,1 in progress,,,,,,,,,,,,,,,,
,دانشگاه,,U of T,MILA,McGill,UBC,UBC,EPFL,Waterloo,Waterloo,,,IST (Austria),,,,,Aalto,,,,,SFU,York,Alberta,Amsterdam,,,,,,,,,,,,,,,,,,,,
,Degree,,M.Sc.,M.Sc.,M.Sc.,M.Sc.,M.Sc.,M.Sc.,M.Math.,M.Sc.,,,Ph.D.,,,,,M.Sc.,,,,,M.Sc.,M.Sc.,M.Sc.,M.Sc.,,,,,,,,,,,,,,,,,,,,
,Department,,CS,CS,CS,CS,ECE,,CS,MDSAI,,,CS,,,,,CS,,,,,CS,CS,CS,AI,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,MScAC,NLP,NLP,,,Data Science,,,,,,,,,,"ML, DS, AI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بعد از سابمیشن,بدون مصاحبه,,,,بدون مصاحبه,,بدون مصاحبه,,,بعد از سابمیشن,,,,,بدون مصاحبه,,,,,,,,بدون مصاحبه,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,REJ,REJ,REJ,Withdraw,Withdraw,REJ,Withdraw,REJ,,,REJ,,,,,ACC-Withdraw,,,,,Withdraw,Withdraw,Withdraw,Final Decision,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,March 31,,,,,,,,,,,,,,,29 March,,,,,,,,29 March,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,100% tuition waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۵۸,کلیت رزومه,,کارشناسی ۹۵,مهندسی کامپیوتر,,,,"ML, Bio, NLP",16.5,,,,26,28,23,25,102,,,,,,کوهی,همت یار,منظوری,علیرضا فرهادی/ بهاری فرد,مدارمنطقی-شبیه سازی,University of Manitoba,"کوهی: protein secondary structure prediction, protein clustering
اینترنشیپ: predicting free-energy states",1in progress( will be published in scientific report nature),,,,,,,,,,,,,,,,
,دانشگاه,,UBC,UBC,Waterloo,SFU,MILA,Carleton,Alberta,Western,,,Montreal,,,,,Queen's at Kingstone,,,,,Concordia,Montreal,,,,,,,,,,,,,,,,,,,,,,
,Degree,,M.Sc.,M.Sc.,M.Math.,M.Sc.,M.Sc.,M.Sc.,M.Sc.,M.Sc.,,,M.Sc.,,,,,M.Sc.,,,,,M.Sc.,M.Sc.,,,,,,,,,,,,,,,,,,,,,,
,Department,,CS,ECE,CS,CS,,CS,CS,CS,,,CS,,,,,CS,,,,,CS,Bio,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,,,بعد از سابمیشن,,,,,بدون مصاحبه,,,,,بعد از سابمیشن,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,REJ,REJ,REJ,REJ,REJ,REJ,Applied,Applied,,,ACC,,,,,Applied,,,,,Applied,ACC,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,,,,,2 مارچ ایمیل دادن که preliminary assesment از طرف کمیته انجام شده و به دانشکده پاس داده شد اپلیکیشنت.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۵۹,کلیت رزومه,,کارشناسی ۹۶,مهندسی کامپیوتر,,,,Vision,18.75,,,,22,23,28,29,102,,,,,,رهبان,جعفری,اسدی,,"AI, MRI, CN, Bio, OS, LA, CS, DD,CA * 3",,رهبان و جعفری,,,,,,,,,,,,,,,,,
,دانشگاه,,UBC,UBC,Waterloo,SFU,Western,York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,M.Sc.,M.Sc.,M.Math.,M.Sc.,M.Sc.,M.Sc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department,,CS,ECE,CS,CS,CS,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,Vision,Vision,Vision,Vision,Vision,Vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,Applied,REJ,REJ,Applied,Applied,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۶۰,کلیت رزومه,,کارشناسی ۹۵,مهندسی شیمی,علوم کامپیوتر,,,Neuroscience,16.76,,,,19,23,28,28,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,دانشگاه,,Princeton,Brown,UCSD,UC Berkeley,IST (Austria),ENS Paris,MPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,M.Sc.,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department,,psychology,Neuroscience,cognitive science,Neuroscience,Neuroscience,cognitive science,Neuroscience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,,,,,,,MPI for biological cybernetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بدون مصاحبه,بدون مصاحبه,,بدون مصاحبه,بعد از سابمیشن,بعد از سابمیشن,بعد از سابمیشن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,REJ,REJ,Applied,REJ,Applied,REJ,Final Decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۶۱,کلیت رزومه,,کارشناسی ۹۶,علوم کامپیوتر,,,,ML Theory/ Optimization,18.22,,,,21,20,26,26,93,,,,,,Babazadeh,Boomeri,Rafiee,Balad!,"DB,DS,BP",,RL in online advertising systems,IEEE control systems (submitted),"برنز ریاضی
طلای آمار(دانشجویی)
Data Engineer @ Balad","من خیلی مصاحبه رفتم با استادایی که میخواستم واسشون اپلای کنم. میشد گفت هر کدوم استایل خاص خودشون رو داشتن ولی چیزی که مشترکا بینشون مهم بود این بود که ریسرچی که کردین چی بوده و چجوری به کار اونا مرتبط میشه. سعی کنین روی این مورد خوب تمرکز کنین.
مورد بعدی اینکه سعی کنین تا حد ممکن ترمی که دارین اپلای میکنین سبک باشه چون از یه جایی به بعد اذیت کننده میشه.
اگه سوالی چیزی داشتین:
Telegram: @Mohammad_afz",,,,,,,,,,,,,,
,دانشگاه,,ELLIS,Northeastern,U of T,TTIC,Washington,Maryland,Wisconsin,USC,,,MPI-SWS,,,,,UMass,,,,,Johns Hopkins,George Mason,McMaster,SFU,,,,,,,,,,,,,,,,,,,,
